"subBasin","ET_resilienceExtABOVE","ecoregionLevelIII","ecoregionIII_ID","MaximumTemperature","MinimumTemperature","Precipitation","Runoff","SnowWaterEquivalent","SoilWaterStorage","EvaporativeDeficit","deciduousCover","evergreenCover","mixedCover","ET_resilienceExtBELOW","numbAboveAnomal","AboveIntensity","numbBelowAnomal","BelowIntensity"
1010001,0.00862068965517241,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.83920764452951,-1.42959758428323,0.0877085682246648,0.767685754054048,0.731716550746188,3.37544840596088,-1.05806545452828,-0.426391520566176,-0.257893844327001,1.7838802578436,0.083333333,-0.45660593226592,-0.053866959138411,-0.274157798778159,-0.526420979039739
1010002,0.00862068965517241,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.77877608108907,-1.43225866281862,0.0646585966658123,0.706262842055992,0.707571400130761,3.40026364389153,-1.05254414221053,-0.462583120552149,-0.40808548881319,2.28537465366563,0.083333333,-0.45660593226592,0.151627356999794,-0.274157798778159,-0.50978730060346
1010003,0.00595238095238095,"Acadian Plains and Hills",37,-1.7606604294969,-1.40562021690741,0.0887469970973819,0.733900172133036,0.734840729068581,3.18226076632022,-1.05052026973996,-0.447041380077696,-0.701135720867669,3.04561006040798,0.078125,-0.45660593226592,-0.247151736943632,-0.183199152505179,-0.665663213548199
1010004,0.0078125,"Acadian Plains and Hills",37,-1.64471723963829,-1.37072090124932,0.12441027515455,0.719374929504225,0.690245241416811,3.26810602186349,-1.04173179651284,-0.557650102834595,-0.556526822931545,2.93124514008837,0.083333333,-0.275936809903266,-0.0211157183220987,-0.274157798778159,-0.522890464519301
1010005,0.00595238095238095,"Acadian Plains and Hills",37,-1.48719670516861,-1.21302021528749,0.220007328315222,0.737388079082847,0.554186348226732,2.96662967229819,-1.01905322692734,-0.370431574271266,-0.905322994864111,3.40866989789078,0.0625,-0.45660593226592,0.0653633038181197,-0.183199152505179,-0.66157324040151
1020001,0.00568181818181818,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.6590156085722,-1.34881291700913,0.312636158933574,0.965661845450854,0.75339363242923,3.1042770893292,-1.05249504691335,-0.395488685160193,-0.321975672922242,1.880444322445,0.057692308,-0.637275054628573,0.244964812233447,-0.0922405062321997,-0.744321718515699
1020002,0.00543478260869565,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.58384551908544,-1.36358077462098,0.279800638894212,0.91064263407165,0.763588579831197,3.15239764122687,-1.04259937058039,-0.577990692508862,-0.439291800512521,2.66289100295284,0.057692308,-0.637275054628573,0.204649211170785,-0.0922405062321997,-0.685262414821772
1020003,0.00892857142857143,"Acadian Plains and Hills",37,-1.38492719622292,-1.16439559817176,0.35489958298504,0.860887697341782,0.527854776787079,3.01773148375996,-1.01433671056398,-0.499428406498554,-0.6825324389149,3.12756436363775,0.0625,-0.45660593226592,0.0552951563705755,-0.00128185995921993,-0.656703841324662
1020004,0.0078125,"Acadian Plains and Hills",37,-1.42081281388168,-1.24462680902592,0.523490358281889,1.13698903502806,0.699266093096271,2.551646814487,-1.02167651565013,-0.41836523620497,-0.538409275711791,2.52895286240599,0.05,-0.45660593226592,-0.15658588557269,0.0896767863137598,-0.61014835697594
1020005,0.0125,"Acadian Plains and Hills",37,-1.17141940582906,-0.931415581990234,0.371640153862471,0.739403562633977,0.162767301434148,2.10577469317175,-0.936008687709074,-0.447410716559135,-0.500371999360772,2.49874785171361,0.03125,-0.637275054628573,-0.158715913788919,-0.547033737597099,0.962033038907656
1030001,0.00625,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.70043229761958,-1.35730803116663,0.288040610970137,0.935211817145855,0.715273993216329,3.41362035273826,-1.06232727368121,-0.267930836202552,-0.415707504981719,1.81304954262597,0.0625,-0.45660593226592,-0.0578757539569764,-0.0922405062321997,-0.713915875666642
1030002,0.00568181818181818,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.74649058659825,-1.39379577964658,0.318255933483746,1.01340920733217,0.780070650459159,2.16443181723596,-1.05070676155184,-0.372528501855685,-0.16144784985993,1.38426674599455,0.0234375,-0.637275054628573,0.258825183223377,-0.0922405062321997,-0.639758937266949
1030003,0.0131578947368421,"Acadian Plains and Hills",37,-1.20898185850757,-1.0044036591235,0.441768600954741,0.857834754032058,0.279946606037405,2.04236582866342,-0.955998803367661,-0.181681071546848,-0.682683694773359,2.32301194461997,0.03125,2.07276178081123,-1.3843602158953,-0.547033737597099,0.728796626322785
1040001,0.00568181818181818,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.71023808552975,-1.36219079205608,0.409411713983704,1.09367468573869,0.776032446287564,2.05522542258766,-1.05153173014316,-0.159092900675836,-0.479149766374765,1.71043163702602,0.023809524,-0.637275054628573,0.250644042690775,0.0896767863137598,-0.831900332067604
1040002,0.0110544217687075,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.19667247848834,-0.950259835114415,0.570995705323304,1.01487981550699,0.250919737408161,0.840226696966117,-0.923243762404784,-0.124631918236747,-0.606035374387157,1.96934617900891,0.025423729,1.53075441372327,-1.2702112463675,0.453511371405679,-0.593768550745629
1050001,0.00892857142857143,"Acadian Plains and Hills",37,-1.23013721222508,-1.04992664636193,0.458800009202287,0.915060502977881,0.392678663407421,2.68122250147347,-0.968299969503808,-0.557314633973613,-0.462101262857816,2.67274852987854,0.022222222,-0.45660593226592,-0.0341873398951804,0.0896767863137598,-0.63545885325969
1050002,0.016,"Acadian Plains and Hills",37,-1.14761001522829,-0.742916708978234,0.634180946146553,1.08802665558248,0.356215959454889,1.49214048309023,-0.906922436370893,-0.574328436154165,-0.283432527168037,2.22834028958899,0.041666667,2.07276178081123,-1.41752779832163,-0.547033737597099,1.15339438883328
1050003,0.017156862745098,"Acadian Plains and Hills",37,-1.0720626651912,-0.492823139222346,0.579343347327902,0.903038170373681,0.093814012497857,1.67623800655105,-0.864001388293207,-0.22937266771235,-0.667419892328468,2.40218308438524,0.041666667,1.71142353608592,-1.50509691307054,-0.547033737597099,0.871626059867182
1060001,0.0160891089108911,"Northeastern Coastal Zone",35,-0.969495601640753,-0.648299682179859,0.547191855916739,0.885390159006029,0.168911837882804,0.952414576305121,-0.840807349809422,-0.612841618866063,-0.583737510503509,3.14531081910035,0.026315789,1.53075441372327,-1.28843619272348,0.453511371405679,-0.480039748592986
1060002,0.0126953125,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.09549415360162,-0.986128520383473,0.702056949547096,1.16711529886069,0.292168948733093,0.436797809401229,-0.907959282415859,-0.305446130604199,-0.625845403349033,2.48146486919201,0.024193548,1.53075441372327,-1.29181144940758,0.453511371405679,-0.485803478914818
1060003,0.00625,"Northeastern Coastal Zone",35,-0.729612082483144,-0.545388285977976,0.53160680542239,0.768266756612865,-0.144204801846634,0.394518039434347,-0.752726847000679,-0.525838499559813,-0.680019957644729,3.1876148852489,0.029891304,-0.637275054628573,-0.297867265251696,0.362552725132699,-0.51672884086328
1070001,0.0112275449101796,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.2713693624424,-1.03748546412343,0.672215148729333,1.16736154195487,0.342498600807732,0.691775671167314,-0.980264138139407,-0.113695301350448,-0.60519453954271,1.93934562663635,0.033783784,1.89209265844858,-1.3569713684302,0.271594078859719,-0.541012540449555
1070002,0.00625,"Northeastern Coastal Zone",35,-0.773551977227431,-0.588746929551944,0.43980806334354,0.649171047356792,-0.223319385449482,0.172493353702653,-0.757814166090748,-0.287588555097734,-0.675049098265043,2.57048111050187,0.041666667,-0.637275054628573,-0.178189319558471,-0.547033737597099,0.631017014931338
1070003,0.00625,"Northern Appalachian and Atlantic Maritime Highlands",22,-0.931149928334561,-0.639478923509318,0.545055282654374,0.79340913992006,-0.187587237489155,0.293266287122316,-0.866508492038269,-0.400816164873937,-0.633625083789173,2.74429792420479,0.041666667,-0.637275054628573,0.0839493700684226,-0.547033737597099,0.682511564561293
1070004,0.00625,"Northeastern Coastal Zone",35,-0.670374333814326,-0.45247573025474,0.614891601459016,0.787129259116225,-0.261728573749461,0.495396202526968,-0.781252340800075,-0.0502055879532098,-0.704292240161008,2.04889898991453,0.041666667,-0.637275054628573,-0.000971437161414522,-0.547033737597099,0.763439179239887
1070005,0.00625,"Northeastern Coastal Zone",35,-0.520444329146219,-0.305356093612904,0.55175285588746,0.669177440925764,-0.333418873557584,0.378269591148393,-0.68817189488973,0.382917778072683,-0.824612000648297,1.27994690797185,0.041666667,-0.637275054628573,-0.169740399804121,-0.456075091324119,0.812764844483076
1080101,0.0208333333333333,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.50864872628495,-1.22986243271992,0.422985182718067,0.979773587995577,0.537368374734757,1.43204502739888,-1.03393796038118,0.0148936441564868,-0.703430780070753,1.88162931243882,0.035714286,-0.637275054628573,0.299114571658592,-0.0922405062321997,-0.839017569413107
1080102,0.0208333333333333,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.38379280840455,-1.29752117654514,0.367836469600977,0.88419661454439,0.454909637456125,1.30967234763741,-1.032619976879,0.137710195973898,-0.664193006728155,1.46342902060252,0.034722222,-0.637275054628573,0.412006562503845,-0.183199152505179,-0.713934733189719
1080103,0.00568181818181818,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.28469238313944,-1.17155279902283,0.262095272233311,0.667088167365693,0.221009015337742,1.03278234272283,-0.988295615388634,0.212157602910278,-0.726527994715254,1.44491307897664,0.025,-0.637275054628573,0.193954601984602,-0.00128185995921993,-0.51657393557153
1080104,0.00625,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.02042449265569,-0.803858138681365,0.285553719725398,0.525931944406643,-0.144960318984717,0.439960569973696,-0.875369883888988,-0.263736355852857,-0.431526494892466,1.84558667815333,0.03030303,-0.637275054628573,0.0864920724855983,0.0896767863137598,-0.330519192683105
1080105,0.00595238095238095,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.2748935978188,-1.13434314639268,0.419827556121274,0.850775187531268,0.269579081977549,1.33826508657364,-0.992099678788232,0.398960245094088,-0.743891079487226,1.01905304448583,0.0390625,-0.45660593226592,-0.0709638381192512,-0.183199152505179,-0.227303339225409
1080106,0.00625,"Northern Appalachian and Atlantic Maritime Highlands",22,-1.17103397823144,-1.07042279493102,0.581612394123659,1.00324976764331,0.227064044616071,1.19833490062565,-0.98361385591562,0.378126702948407,-0.659108038308825,0.840495230756572,0.032407407,-0.637275054628573,0.198646718116084,-0.00128185995921993,-0.273659640720855
